filename,label,index,original_file,start_sample,end_sample
filtered_BA0803901_segment_1_0.051534-0.068135_Fibrillation.png,Fibrillation,0,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,568,751
filtered_BA0803901_segment_1_0.205497-0.220796_Fibrillation.png,Fibrillation,1,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,2265,2434
filtered_BA0803901_segment_1_0.334721-0.351647_Fibrillation.png,Fibrillation,2,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,3690,3876
filtered_BA0803901_segment_1_0.360762-0.375084_Fibrillation.png,Fibrillation,3,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,3977,4135
filtered_BA0803901_segment_1_0.514399-0.531976_Fibrillation.png,Fibrillation,4,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,5671,5865
filtered_BA0803901_segment_1_0.669012-0.681381_Fibrillation.png,Fibrillation,5,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,7375,7512
filtered_BA0803901_segment_1_0.820371-0.837948_Fibrillation.png,Fibrillation,6,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,9044,9238
filtered_BA0803901_segment_1_0.717838-0.728254_PSW.png,PSW,7,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,7914,8029
filtered_BA0803901_segment_1_0.731183-0.740948_PSW.png,PSW,8,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,8061,8168
filtered_BA0803901_segment_1_0.646878-0.656318_PSW.png,PSW,9,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,7131,7235
filtered_BA0803901_segment_1_0.634834-0.642646_PSW.png,PSW,10,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,6999,7085
filtered_BA0803901_segment_1_0.978487-0.989283_Fibrillation.png,Fibrillation,11,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,10787,10906
filtered_BA0803901_segment_1_1.130767-1.143268_Fibrillation.png,Fibrillation,12,.\Spontanaktivität\filtered_BA0803901_segment_1.wav,12466,12604
